City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
Valentine,NE,Private,NA,59,46,NA,NA,NA,NA,NA,NA,72,CapRock Ranch,7.7011,7.7134,7.5031,7.7292,7.6871,7.891,7.5307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth,MA,Private,52,53,62,56,58,63,NA,139,2005,73,Old Sandwich Golf Club,7.6733,7.7583,7.6093,7.7387,7.5821,7.6148,7.6489,7.7352,7.6751,7.8558,7.7324,7.7637,7.8157,7.928,62.241099999999996,7.6889,7.8171,7.5847,7.7044,7.5199,7.6639,7.7227,69.0949
Medinah,IL,Private,NA,NA,74,48,60,93,NA,152,1928,74,Medinah Country Club (No. 3),7.7052,7.7583,7.7267,7.6162,7.5487,7.5859,7.7387,7.8127,8.0184,7.5567,7.7194,7.7051,7.6641,7.9304,62.2195,7.5364,7.7679,7.8684,7.3555,7.2696,7.4966,7.6726,67.8589
Scarsdale,NY,Private,39,47,52,76,76,81,NA,143,1918,75,Quaker Ridge Golf Club,7.6633,7.7341,7.7026,7.6726,7.5761,7.5181,7.8198,7.6701,7.7095,7.6954,7.682,7.5975,7.8428,7.864,61.7314,7.6413,7.7324,7.6729,7.6025,7.5748,7.491,7.8065,68.7652
Pebble Beach,CA,Public,NA,NA,NA,49,51,67,13,144,NA,76,Spyglass Hill,7.6328,7.6029,7.9609,7.6395,7.4466,7.7934,7.512,7.8215,8.1104,7.7621,7.7987,7.9645,7.5962,7.697,62.5719,7.6402,7.6234,7.9502,7.6299,7.4716,7.832,7.5525,68.9699
Pebble Beach,CA,Private,85,78,90,NA,80,79,NA,139,1929,77,Monterey Peninsula Country Club (Dunes),7.5713,7.7362,7.4455,7.6669,7.6806,8.062,7.6918,7.5601,7.487,7.629,7.7922,8.0862,7.7219,7.806,61.64249999999999,7.6005,7.7645,7.4665,7.6787,7.6877,8.0724,7.7104,69.2599
Manchester,MA,Private,64,62,65,91,79,78,NA,130,1893,78,Essex County Club,7.6344,7.8583,7.3978,7.8079,7.6929,7.7169,7.5506,7.6497,7.3801,7.9012,7.7994,7.7151,7.6182,7.9358,61.6492,7.6236,7.8642,7.3579,7.8426,7.7052,7.734,7.5496,69.1433
Manakin Sabot,VA,Private,NA,NA,NA,53,66,74,NA,141,2001,79,Kinloch Golf Club,7.6265,7.7472,7.4526,7.6146,7.5762,7.7526,7.9113,7.675,7.4711,7.7172,7.6868,7.7962,8.0851,7.9501,62.05649999999999,7.6233,7.7757,7.4206,7.6061,7.5116,7.6947,7.9447,68.8061
Edmond,OK,Private,NA,NA,NA,58,57,66,NA,165,1976,80,Oak Tree National,7.6968,7.5511,8.1103,7.682,7.3102,7.3923,7.5213,7.8412,8.2272,7.8287,7.7446,7.4749,7.6875,7.5973,62.242599999999996,7.7794,7.6038,8.1726,7.7393,7.2743,7.4675,7.5365,69.0921
Bandon,OR,Public,66,77,79,47,56,72,14,131,NA,81,Old Macdonald,7.623,7.8362,7.5227,7.7566,7.7039,7.6794,7.4911,7.6739,7.6323,7.9015,7.8728,7.8486,7.6276,8.0701,62.30069999999999,7.612,7.9044,7.5465,7.7755,7.6992,7.7327,7.519,69.1768
